location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Westlands Area,4 Bed Townhouse with En Suite in Westlands Area,40000000.0,2023-07-04,Origin Homes,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden","Bus Stop, Shopping Centre, Golf Course, Scenic View, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3612765
 Redhill,4 Bed Townhouse with En Suite in Redhill,40000000.0,2023-07-07,Edlon Group Limited,En Suite,"Electric Fence, Garden, Parking",Scenic View,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-red-hill-4-3460895
 Bamburi Mwisho,4 Bed House with Walk In Closet at Bamburi Mwisho,15000000.0,2023-07-04,Abdul Kalume Realtors,"Furnished, Walk In Closet","Balcony, Parking, Staff Quarters","Bus Stop, Hospital, School, Golf Course, Scenic View",https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-sale-bamburi-1-3482311
 Olive Place Townhomes,4 Bed Townhouse with En Suite at Olive Place Townhomes,12500000.0,2023-06-30,Olive Place,"En Suite, Service Charge Included, Walk In Closet, Fibre Internet","Balcony, CCTV, Electric Fence, Borehole, Parking","School, Hospital, Bus Stop, Shopping Centre, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-gikambura-1-3578132
 Nanyuki,6 Bed Villa with Swimming Pool at Nanyuki,60000000.0,2023-05-24,Precious Wanjiru,"Balcony, Gym, Parking, Swimming Pool, Garden, Borehole","Scenic View, Golf Course",nan,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-nanyuki-3601569
 Kwembe Street,3 Bed House with Garden at Kwembe Street,14500000.0,2023-06-08,Anna Carol Nyokabi Waweru,Alarm,"CCTV, Garden, Parking, Staff Quarters","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kajiado-3605432
 Kigwaru Drive,4 Bed Villa with En Suite at Kigwaru Drive,45000000.0,2023-07-04,George Irungu,"Alarm, En Suite, Fibre Internet, Furnished, Walk In Closet","Balcony, BBQ, CCTV, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access","Scenic View, Shopping Centre, School, Golf Course, Bus Stop, Hospital",https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-sale-ruaka-3611765
 Kiambu Road,4 Bed House with En Suite in Kiambu Road,85000000.0,2023-07-09,Intime Homes Consultancy,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Staff Quarters, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3554344
 Gigiri,5 Bed House with En Suite in Gigiri,,2023-07-08,Zyve,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV,  Electric Fence, Garden, Staff Quarters, Parking","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-gigiri-12-3573824
 Bustani Villas - Mombasa Road,3 Bed Townhouse with En Suite at Bustani Villas - Mombasa Road,12000000.0,2023-07-08,Zyve,"En Suite, Fibre Internet, Service Charge Included, Walk In Closet","Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters","Shopping Centre, Bus Stop, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-mombasa-road-11-3590812
 Wanyee Road,3 Bed Townhouse with En Suite at Wanyee Road,14500000.0,2023-07-09,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet","Borehole, Wheelchair Access, Electric Fence, CCTV, Parking, BBQ, Balcony","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-dagoretti-corner-3611995
 South C.,3 Bed Townhouse with En Suite at South C.,16500000.0,2023-07-09,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet","Balcony, BBQ, Parking, CCTV, Electric Fence, Wheelchair Access","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-south-c-3610564
 South C.,3 Bed Townhouse with En Suite at South C.,16500000.0,2023-07-09,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet","Balcony, BBQ, Parking, CCTV, Electric Fence, Wheelchair Access","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-south-c-3611998
 Ring Road,5 Bed Villa with En Suite at Ring Road,45000000.0,2023-06-20,Dev Kariaa,"Aircon, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters","Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-kisumu-3608810
 Denis Prit Road.,1 Bed House with En Suite at Denis Prit Road.,6800000.0,2023-07-09,Ace Realtors Limited,"Aircon, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite,  , Fibre Internet","Balcony, Gym, BBQ, Parking, CCTV, Electric Fence,  Wheelchair Access, Borehole","Bus Stop, Shopping Centre, Hospital, School, Scenic View",https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-kilimani-3611968
 Malindi.,1 Bed House with En Suite at Malindi.,4450000.0,2023-07-09,Ace Realtors Limited,"Aircon,  , Alarm, Service Charge Included, Walk In Closet, En Suite, Fibre Internet","Balcony, BBQ,  Parking, CCTV, Electric Fence, Swimming Pool, Wheelchair Access","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-malindi-3611932
 Mtwapa Weigh Bridge,3 Bed House with En Suite at Mtwapa Weigh Bridge,7500000.0,2023-07-06,BLISS HOMES,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence,  , Borehole, Garden, Parking, Swimming Pool, Wheelchair Access","Bus Stop, Hospital,  Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-mtwapa-3608197
 Ngong,3 Bed House with Swimming Pool in Ngong,12500000.0,2023-06-27,Leilach Properties,"Fibre Internet, Walk In Closet","Balcony, Swimming Pool, Wheelchair Access, Garden, Parking, Gym","School, Scenic View, Hospital, Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-1-3554790
 Kiambu Road,5 Bed Townhouse with En Suite in Kiambu Road,24500000.0,2023-07-03,Ge-Mac Property Solutions,"Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet","Balcony, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-road-3612618
 Malindi,3 Bed House with En Suite at Malindi,14850000.0,2023-06-19,Palmville Realtors,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-malindi-1-3591384
 Embakasi,3 Bed Townhouse with En Suite in Embakasi,13000000.0,2023-06-27,Durian Property Consult Ltd,En Suite,"Parking, Garden","Bus Stop, Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-embakasi-3610902
 Diani,5 Bed Townhouse with En Suite in Diani,80000000.0,2023-06-28,Pemukika Agency,En Suite,"Electric Fence, Borehole, Garden, Parking, Staff Quarters, CCTV, Balcony","Sea View, School, Scenic View, Hospital, Shopping Centre, Bus Stop",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-diani-3579791
 Bamburi,3 Bed House with En Suite at Bamburi,18500000.0,2023-07-04,Abdul Kalume Realtors,"Aircon, Alarm, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","BBQ, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-bamburi-1-3556945
 Ngong,5 Bed House with En Suite in Ngong,34000000.0,2023-06-27,Leilach Properties,"En Suite, Fibre Internet, Walk In Closet","Balcony, Parking, Staff Quarters, Wheelchair Access, Garden","Bus Stop, Shopping Centre, Scenic View, Hospital, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ngong-1-3552702
 South C,3 Bed House in South C,17800000.0,2023-06-05,Ryden International,"Shopping Centre, Bus Stop, School",nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-south-c-3542841
 Karen,5 Bed House in Karen,65000000.0,2023-07-08,Wilnas Property Ltd,nan,nan,nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3612722
 Off Mirema Rd,5 Bed House with En Suite at Off Mirema Rd,40000000.0,2023-07-06,Shingles Kenya Limited,"En Suite, Fibre Internet","Garden, Staff Quarters, Parking","Golf Course, Hospital, School, Bus Stop",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-thika-road-3439114
 Runda,5 Bed House with En Suite in Runda,,2023-07-08,Zyve,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, Electric Fence, Garden, Staff Quarters, Wheelchair Access, Parking","Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-11-3590763
 Kitengela,4 Bed House with Garden in Kitengela,9600000.0,2023-07-08,Homeken Limited,"Parking, Garden",nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-1-3599328
 Bamburi,4 Bed House with En Suite at Bamburi,18000000.0,2023-07-04,Abdul Kalume Realtors,"Aircon, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","Balcony, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-bamburi-1-3544854
 Enkasiti,4 Bed House with En Suite at Enkasiti,12000000.0,2023-05-29,Margaret Florence,"En Suite, Walk In Closet","Balcony, Garden, Parking","Scenic View, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3602927
 Runda Grove,7 Bed Villa with En Suite at Runda Grove,280000000.0,2023-06-05,Wilson Waita,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Walk In Closet, Furnished","Balcony, BBQ, CCTV, Staff Quarters","Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/furnished-7-bedroom-villa-for-sale-runda-3604541
 Loresho,4 Bed House with En Suite in Loresho,85000000.0,2023-07-09,Intime Homes Consultancy,"Fibre Internet, Walk In Closet, Backup Generator, En Suite, Alarm, Service Charge Included","Parking, BBQ, Balcony, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School, Sea View",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-loresho-16-3545153
gton,5 Bed House with En Suite in Lavington,80000000.0,2023-06-07,HOMES.COM,"Backup Generator, En Suite, Fibre Internet, Walk In Closet","Gym, Electric Fence, CCTV, Borehole, Garden, Parking, Wheelchair Access","School, Hospital, Golf Course, Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3605399
 Mtwapa,3 Bed Villa with En Suite at Mtwapa,31500000.0,2023-06-13,Sky Miles Properties,"Alarm, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","Balcony, BBQ, Electric Fence, Borehole, Garden, Parking, Swimming Pool, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-mtwapa-1-3554644
 Muthaiga,5 Bed House with En Suite in Muthaiga,120000000.0,2023-07-03,Afrique Properties Limited,"En Suite, Fibre Internet, Walk In Closet","Balcony, Staff Quarters, Parking, Garden","Bus Stop, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-muthaiga-1-3492194
 Denis Prit Road.,1 Bed House with En Suite at Denis Prit Road.,6800000.0,2023-07-08,Ace Realtors Limited,"Aircon, Alarm, Walk In Closet, Service Charge Included, En Suite, Fibre Internet","Wheelchair Access, Electric Fence, CCTV, Parking, BBQ, Balcony","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-kilimani-3612415
 Casaurina Rd.,3 Bed Villa with En Suite at Casaurina Rd.,12850000.0,2023-06-19,Palmville Realtors,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","Balcony, BBQ,  , CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters","Bus Stop,  Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-malindi-1-3598201
 Karen,5 Bed House with En Suite at Karen,135000000.0,2023-07-01,Mapema Properties,"Backup Generator, Alarm, En Suite, Fibre Internet, Serviced,  , Walk In Closet","Balcony, BBQ, Electric Fence, CCTV, Garden, Borehole,  Gym, Parking, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3582544
 Brookside,4 Bed Townhouse with En Suite in Brookside,70000000.0,2023-07-01,Leti Realty Limited,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Scenic View, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-brookside-1-3601745
 Nyali Area,4 Bed House with En Suite in Nyali Area,35000000.0,2023-04-19,Furaha Properties,En Suite,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyali-area-3388194
 School Lane,4 Bed Villa with En Suite at School Lane,47000000.0,2023-04-12,Halifax Estate Agency,"Alarm, Backup Generator,  En Suite, Walk In Closet","Balcony, Garden, Parking","Bus Stop, School",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-westlands-area-3483162
 Kiambu Road,3 Bed Villa with En Suite in Kiambu Road,75000000.0,2023-06-21,Villawatch Limited,"Alarm, Backup Generator, En Suite, Furnished, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters","Scenic View, School, Golf Course",https://www.buyrentkenya.com/listings/furnished-3-bedroom-villa-for-sale-kiambu-road-3606748
 Runda Road,5 Bed House with En Suite at Runda Road,170000000.0,2023-06-26,Nairobi Royal Homes,"Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Alarm, Aircon","Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Gym, Parking, Staff Quarters, Wheelchair Access","Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-1-3583220
 Kamiti Road,4 Bed Villa with En Suite at Kamiti Road,18500000.0,2023-06-07,T&T Properties Kenya Limited,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Walk In Closet, Service Charge Included","Balcony, BBQ, CCTV, Borehole, Garden, Wheelchair Access, Swimming Pool, Staff Quarters, Parking, Gym, Electric Fence","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-sale-tatu-city-3597344
 Vipingo,4 Bed House with En Suite at Vipingo,75000000.0,2023-05-24,Benford Homes,"Aircon, Alarm, Backup Generator, En Suite, Walk In Closet","BBQ, Balcony, CCTV, Electric Fence, Borehole, Garden, Staff Quarters, Parking","Golf Course, Scenic View, School, Sea View",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-cbd-3545388
 Mukoma Road,4 Bed House with En Suite at Mukoma Road,65000000.0,2023-07-01,Mapema Properties,"En Suite, Serviced, Service Charge Included, Walk In Closet",Garden,"Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-hardy-1-3576500
 Edenville Phase 2,4 Bed Townhouse with En Suite at Edenville Phase 2,21800000.0,2023-05-25,Crystal Valuers LTD,"Alarm, En Suite, Backup Generator","CCTV, Borehole, Staff Quarters, Parking, Garden","Bus Stop, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-1-3504398
gton,5 Bed Townhouse with En Suite in Lavington,120000000.0,2023-06-05,Sky Limits Ventures,En Suite,"Balcony, Parking, Staff Quarters, Electric Fence, Garden",nan,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3546367
 Karen,4 Bed Townhouse with En Suite in Karen,65000000.0,2023-06-20,Kraft Fiction,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, CCTV, Electric Fence","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-1-3601327
gton,6 Bed Villa with En Suite in Lavington,121000000.0,2023-06-16,Homelight Properties Ltd.,"Aircon, Serviced, Alarm, Backup Generator, Walk In Closet, Service Charge Included,  En Suite","Balcony, Gym, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Garden, Wheelchair Access","Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lavington-3607081
gton,4 Bed Townhouse with En Suite in Lavington,62000000.0,2023-07-01,Leti Realty Limited,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-1-3596369
 Diani,3 Bed Villa with En Suite in Diani,6950000.0,2023-06-20,Mizizi Africa Homes,"En Suite, Serviced, Walk In Closet, Aircon, Fibre Internet, Service Charge Included","Balcony, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, BBQ, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-diani-1-3568716
 Runda,5 Bed House with En Suite at Runda,90000000.0,2023-07-06,Royal Properties Market Limited,"En Suite, Aircon, Alarm, Walk In Closet","Balcony, Garden, Electric Fence",Sea View,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-2-33806
 Runda,5 Bed House with En Suite at Runda,150000000.0,2023-06-09,Skybraze homes,En Suite,Parking,nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3606167
 Tigoni,4 Bed Townhouse with En Suite in Tigoni,50000000.0,2023-07-03,Nuru Breeze Homes Realty Limited,"En Suite, Walk In Closet","Balcony, BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Garden","Bus Stop, Shopping Centre, Hospital, School, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-tigoni-1-3581961
ta Road,3 Bed House with En Suite in Kenyatta Road,5250000.0,2023-05-11,Kijani Annex,"Backup Generator, Walk In Closet, En Suite, Fibre Internet","Garden, Borehole, Electric Fence, CCTV, BBQ, Parking, Balcony","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kenyatta-road-3598917
 Joska,4 Bed Townhouse with En Suite at Joska,10500000.0,2023-05-13,Kijani Homes Realtors,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Serviced","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Staff Quarters, Parking, Gym","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-joska-3599498
 Old Nyali,3 Bed House with En Suite at Old Nyali,30000000.0,2023-04-19,Furaha Properties,"Backup Generator, En Suite, Walk In Closet, Fibre Internet","Garden, Wheelchair Access, BBQ, CCTV, Parking, Electric Fence, Borehole","Bus Stop, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-nyali-area-3495555
a Rongai,4 Bed House with En Suite in Ongata Rongai,6300000.0,2023-06-27,Leilach Properties,"En Suite, Fibre Internet","Parking, Staff Quarters, Wheelchair Access, Garden","Bus Stop,  Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ongata-rongai-1-3585723
 Lavington,6 Bed Townhouse with En Suite at Lavington,55000000.0,2023-06-06,Jazari Homes,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Service Charge Included, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Scenic View, School, Hospital, Shopping Centre",https://www.buyrentkenya.com/listings/furnished-6-bedroom-townhouse-for-sale-lavington-3552430
 Nyali Area,5 Bed House with En Suite in Nyali Area,68000000.0,2023-05-05,Furaha Properties,"Walk In Closet, En Suite, Fibre Internet","Garden, Swimming Pool, Electric Fence, Staff Quarters, CCTV, Parking, BBQ, Balcony","Shopping Centre, Bus Stop, Hospital, Scenic View, Sea View, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-nyali-area-3597646
a,4 Bed House with En Suite in Langata,17000000.0,2023-02-10,Tysons Limited,"En Suite, Fibre Internet",Parking,"Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-langata-3580494
 Kitengela,3 Bed House with En Suite in Kitengela,8500000.0,2023-05-30,Signature Africa,En Suite,"Borehole, Garden, Parking, Wheelchair Access, Electric Fence","Shopping Centre, School, Bus Stop",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3570846
or in Westlands Area,5 Bed Townhouse with Backup Generator in Westlands Area,48000000.0,2023-05-24,Eden Heights Realty,Backup Generator,"Balcony, Parking, Staff Quarters, Electric Fence","Shopping Centre, Bus Stop, School",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3583122
 Lavington,5 Bed Townhouse with En Suite at Lavington,120000000.0,2023-06-20,Hanspace Limited,"Service Charge Included, Backup Generator, En Suite","Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Garden","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3602396
 Kahawa Sukari,4 Bed House with En Suite in Kahawa Sukari,48000000.0,2023-06-21,Abec Real Estate,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kahawa-sukari-6-3547161
e,5 Bed House with En Suite at Ololua Estate,95000000.0,2023-07-01,Mapema Properties,"En Suite, Service Charge Included, Walk In Closet,  , Serviced","Garden, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3576153
 Buruburu Phase 1,3 Bed House at Buruburu Phase 1,10500000.0,2023-07-08,Zyve,Fibre Internet,"Balcony, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-buruburu-3607168
 Along Kiambu Road Off Paradise Lost Road,4 Bed House with En Suite at Along Kiambu Road Off Paradise Lost Road,32000000.0,2023-06-23,Apogee Realty Homes,"Service Charge Included, En Suite, Fibre Internet","Balcony, Parking, Staff Quarters,  , Electric Fence, Wheelchair Access, Borehole, Garden","Bus Stop, Shopping Centre, Hospital,  Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3610189
 Thika Road,4 Bed House with En Suite at Thika Road,22000000.0,2023-07-03,Afrique Properties Limited,"Alarm, En Suite, Fibre Internet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking","Bus Stop, Golf Course, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-membley-1-3601365
 Karen,4 Bed Villa with En Suite in Karen,65000000.0,2023-06-27,Villawatch Limited,"Backup Generator, En Suite","Balcony, Parking, Staff Quarters, Borehole, Garden","Bus Stop,  Shopping Centre, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-karen-3611232
 Acacia,4 Bed House with En Suite at Acacia,6250000.0,2023-06-27,Blu cherryDUPLICATE,"Alarm, En Suite, Fibre Internet","Parking, Staff Quarters, Garden, Borehole","School, Hospital, Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-1-3597422
 Karen Kikeni Road,4 Bed House with Garden at Karen Kikeni Road,47000000.0,2023-07-01,Mapema Properties,"Alarm, Serviced, Walk In Closet","Balcony, CCTV, Garden","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-1-3575667
 Karen,4 Bed House with Garden at Karen,65000000.0,2023-05-29,Skybraze homes,"Parking, Garden",nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3600149
 Kitengela,3 Bed House with Garden at Kitengela,6300000.0,2023-07-08,Homeken Limited,"Parking, Garden","Bus Stop, Hospital, Scenic View, School, Shopping Centre",nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3-3596522
 Lavington,5 Bed Townhouse with En Suite at Lavington,55000000.0,2023-06-20,Hanspace Limited,"Service Charge Included, Backup Generator, Walk In Closet, En Suite","Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3609138
 Karen,5 Bed House with En Suite at Karen,99000000.0,2023-07-01,Mapema Properties,"Backup Generator, Alarm, En Suite, Fibre Internet, Serviced, Walk In Closet","Balcony, CCTV, Borehole, Garden, Parking, Gym, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3580649
 Kahawa Sukari,5 Bed Villa with En Suite at Kahawa Sukari,29900000.0,2023-06-06,El Roi Properties,"Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-kahawa-sukari-3596696
