location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Mutalia,4 Bed House with En Suite at Mutalia,6250000.0,2023-06-21,Arthi Africa Homes,"Aircon, Alarm, Backup Generator, Serviced, Walk In Closet, Fibre Internet, En Suite","Balcony, CCTV, Electric Fence, Garden, Staff Quarters, Parking, Wheelchair Access, Borehole","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-joska-1-3600686
ani Villas,5 Bed Townhouse with En Suite at Katani Villas,18500000.0,2023-05-24,Crystal Valuers LTD,"Backup Generator, En Suite","Balcony, Electric Fence, CCTV, Borehole, Parking, Gym, Swimming Pool, Garden",nan,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-katani-3600312
 Nairobi,6 Bed House at Nairobi,165000000.0,2023-03-21,Fit Property,nan,nan,nan,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-lavington-3510390
 Runda,5 Bed House with En Suite at Runda,250000000.0,2023-06-21,LIflac Properties,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-2-3540392
 Runda,6 Bed Villa with En Suite in Runda,155000000.0,2023-06-13,Falcon Sight Properties,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access","Bus Stop, Hospital, Golf Course, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-runda-3-3542503
 Hillcrest Road,4 Bed House with En Suite at Hillcrest Road,50000000.0,2023-07-01,Mapema Properties,"En Suite, Serviced, Service Charge Included",Garden,"Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-1-3575897
 Bogani,5 Bed Villa with En Suite at Bogani,84000000.0,2023-06-08,Unique Homes Kenya,"Backup Generator, En Suite, Walk In Closet","Balcony, Electric Fence, Borehole, Garden, Parking, Swimming Pool",nan,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3592465
gton,6 Bed Villa with En Suite in Lavington,121000000.0,2023-06-05,Sky Limits Ventures,"Backup Generator, En Suite, Walk In Closet","Balcony, Parking, CCTV, Staff Quarters, Electric Fence, Garden",nan,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-lavington-2-3552152
 South C,4 Bed House with En Suite in South C,26000000.0,2023-06-30,Vector Afriq Properties Ltd,"Alarm, En Suite, Fibre Internet, Walk In Closet, Aircon","Balcony, Parking, CCTV, Garden","Bus Stop, Shopping Centre, School, Hospital",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-south-c-2-3587820
 Kahawa,4 Bed Villa with En Suite at Kahawa,45000000.0,2023-07-02,Kenya Classic Homes,"Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet","Balcony, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden","School, Scenic View, Hospital, Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kahawa-sukari-2-3598210
 Bondeni,5 Bed House with Garden at Bondeni,20000000.0,2023-05-29,Skybraze homes,Garden,nan,nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ngong-3601118
ion,4 Bed Villa with En Suite at Plantation,95000000.0,2023-06-13,Sky Miles Properties,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking,  , Staff Quarters, Swimming Pool, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View,  School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kilifi-1-3554848
g Valley,5 Bed House with En Suite in Spring Valley,70000000.0,2023-05-24,Coral Property International Ltd,En Suite,"Parking, Garden",Shopping Centre,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-spring-valley-3576473
 Near Runda Paradise,4 Bed House with En Suite at Near Runda Paradise,88000000.0,2023-06-13,Westside Real Estate,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Staff Quarters, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3604737
